symbol,filing_time,text,topic_ids,label
hymc,2020-03,Our officers and directors allocate their time to other businesses thereby causing conflicts of interest in their determination as to how much time to devote to our affairs.,"[6, 8]",1
fcx,2015-02,Increased regulation of greenhouse gas emissions may increase our costs and may also affect the demand for the oil and gas we produce.,[12],0
hcc,2020-02,"As a result of our limited operating history as a stand-alone company, the Department of Labor required us to provide insurance coverage rather than be self-insured for these obligations.","[0, 9]",1
aumn,2007-04,"Hedging instruments that protect against metals market price volatility may prevent us from realizing the benefit from subsequent increases in market prices with respect to covered production, which would cause us to record a mark-to-market loss, or decrease our cash flows and profits.","[4, 10]",0
btu,2008-02,Some of our international activities include expansion into developing countries where business practices and counterparty reputations may not be as well developed as in our U.S. or Australian operations.,"[5, 8]",1
nc,2011-03,"In one case, the customer may elect to acquire the stock of the subsidiary upon a specified period of prior notice, for any reason, in exchange for payments to NACoal on coal mined at that facility in the future.",[0],0
aumn,2019-02,"Delays in obtaining or a failure to obtain any licenses, permits or property rights or any required extensions; challenges to the issuance of licenses, permits or property rights, whether successful or unsuccessful; changes to the terms of licenses, permits or property rights; or a failure to comply with the terms of any licenses, permits or property rights that have been obtained could have a material adverse effect on our business by delaying, preventing or making future mining and processing at our Velardena Properties and other continued processing activities economically unfeasible.","[2, 7]",0
hcc,2021-02,"We may incur losses and be subject to liability claims that could have a material adverse effect on our financial condition, results of operations or cash flows.","[9, 11]",0
xpl,2018-03,Our exploration activities are subject to normal seasonal weather conditions that often hamper and may temporarily prevent exploration or development activities.,"[9, 14]",1
bmix,2020-04,"Vaaldiam, the previous owner of this mining concession, and at that time a publicly-traded Canadian company, performed detailed geological studies leading to the publication of an NI 43-101 technical report in 2007, with an update in 2008, as required by the rules of the Canadian securities administrator and filed in SEDAR.","[5, 15]",1
nc,2016-03,"Any inaccuracy in the reserve estimates could result in lower than expected revenues, higher than expected costs, decreased profitability and asset impairments.","[4, 7, 10]",0
lode,2015-01,"If one or more of the analysts who cover us downgrades our common stock or publishes inaccurate or unfavorable research about our business, our stock price would likely decline.","[3, 6]",0
btu,2018-02,We have contract-based intangible liabilities primarily consisting of unutilized capacity under port and rail take-or-pay contracts.,[4],0
hl,2015-02,"On February 16, 2015, the closing prices for silver, gold, lead and zinc were $17.27 per ounce, $1,229 per ounce, $0.83 per pound and $0.98 per pound, respectively.",[10],0
arch,2013-03,These contracts require us to pay for a minimum quantity of coal to be transported on the railway or through the port regardless of whether we sell and ship any coal.,[4],1
usau,2021-07,"Any failure of such other companies to meet their obligations to us or to third parties, or any disputes with respect to the parties respective rights and obligations, could have a material adverse effect on the joint ventures or their properties and therefore could have a material adverse effect on our results of operations, financial performance, cash flows and the price of the Common Shares.","[0, 6, 11]",0
aumn,2009-03,We may be forced to liquidate if the Effective Date of the Plan is delayed.,[13],0
rgld,2008-08,"Results of drilling, metallurgical testing and production, and the evaluation of mine plans subsequent to the date of any estimate, may cause revision of such estimates.",[7],0
slca,2022-02,These reforms and other pressures may cause LIBOR to disappear entirely or to perform differently than in the past.,"[4, 9]",0
scco,2014-02,In more recent years Peru has had political and social stability.,"[5, 13]",0
scco,2015-03,"As a result, actual cash operating costs and economic returns based upon development of proven and probable ore reserves may differ significantly from those originally estimated.","[1, 7]",0
rgld,2007-08,"Insurance against environmental risks (including potential liability for pollution or other hazards as a result of the disposal of waste products occurring from exploration and production) is not generally available to the companies within the mining industry, such as the operators of the mines in which we hold a royalty interest, at a reasonable price.","[2, 7, 9]",0
aumn,2015-02,"During this time, the economic feasibility of a project may change because of increased costs, lower metal prices or other factors.","[7, 12]",0
fcx,2016-02,It has been difficult to get firm or final commitments from the Indonesian government.,[13],0
hcc,2020-02,Changes in the estimated claims to be paid or changes in the amount of collateral required by the Department of Labor may have a greater impact on our profitability and cash flows in the future.,[12],0
rgld,2016-08,"Although certain agreements governing our stream and royalty interests require the operators to provide us with production, operating and other information, we do not have the contractual right to receive such information for all of our stream and royalty interests.",[7],0
cde,2017-02,The Company has a labor agreement at the San Bartolome mine which is in effect for 2017.,[13],1
nem,2010-02,"As our operations are maturing, the open pits at many of our sites are getting deeper and we have experienced certain geotechnical failures at some of our mines, including, without limitation, in Indonesia at the Batu Hijau open-pit mine.",[9],0
arlp,2014-02,Future environmental regulation of GHG emissions could accelerate the use by utilities of fuels other than coal.,"[2, 12]",0
uec,2010-10,"As a result of such dilution, if you acquire shares of our common stock, your proportionate ownership interest and voting power could be decreased.","[3, 6]",1
hl,2020-02,"We currently do not have valuation allowances for certain amounts related to the Nevada U.S. tax group and certain foreign deferred tax assets, and our deferred tax assets as of December 31, 2019 were $215.1 million, net of $86.6 million in valuation allowances.",[10],0
btu,2011-02,Our discount rate is determined by utilizing a hypothetical bond portfolio model which approximates the future cash flows necessary to service our liabilities.,"[0, 8]",1
scco,2020-02,"Global and local market conditions, including the high competitiveness in the copper mining industry, may adversely affect our profitability.","[4, 5]",0
fcx,2021-02,"The extent and duration of adverse impacts that the COVID-19 pandemic may have on supply, demand and prices of the commodities we produce, on our suppliers, vendors, customers and employees and on global financial markets is unknown at this time, but could be both material and prolonged.","[4, 9, 12, 14]",0
hnrg,2020-03,"Steel prices and the prices of scrap steel, natural gas and coking coal consumed in the production of iron and steel fluctuate significantly and may change unexpectedly.","[4, 12, 14]",0
lode,2010-04,"Consequently, these penny stock rules may affect the ability of broker-dealers to trade our securities.",[3],0
hl,2017-02,We may not be able to pay common or preferred stock dividends in the future.,[3],0
scco,2015-03,"In Mexico, we are obligated, among other things, to explore or exploit the relevant concession, to pay any relevant fees, to comply with all environmental and safety standards, to provide information to the Ministry of Economy and to allow inspections by the Ministry of Economy.","[2, 5, 13]",1
ceix,2021-02,There can be no assurance that we will continue to repurchase shares of our common stock or outstanding debt securities.,"[3, 6]",1
hl,2014-02,In January 2010 we paid all dividends in arrears.,[3],1
fcx,2010-02,"As a result, there is no assurance that current or future exploration programs will be successful.",[1],0
hl,2018-02,Our ability to expand or replace ore reserves primarily depends on the success of our exploration programs.,"[1, 7, 8]",1
fcx,2009-02,"The assailants shot at several vehicles transporting international contract teachers from our school in Tembagapura, their family members and other contractors to PT Freeport Indonesia.","[5, 13]",0
