Original,Human-readable,topic_2_environmental_regulation,topic_4_customer_orientation,topic_6_shareholder_affiliation,topic_8_hiring_employees,topic_9_natural_disaster,topic_11_litigation,topic_12_carbon_emissions,topic_13_labor_issues,topic_14_supply_chain_problems,topic_15_taxes,is_overlap,has_overlap,has_label
act_forceposture,force posture,,,,,,,,,,,,FALSE,FALSE
act_harmthreaten,harm threaten,,,,,,,,,,,,FALSE,FALSE
act_makestatement,make statement,,,,,,1,,1,,,,TRUE,TRUE
act_yield,yield,,,,,,,,1,,,,FALSE,TRUE
affect,affect,,,,,,,,,,,,FALSE,FALSE
agriculture,agriculture,1,,,,,,,,,,,FALSE,TRUE
aid_economic,economic,,,,,,,,,,,,FALSE,FALSE
aid_humanitarian,humanitarian,,,,,,,,,,,,FALSE,FALSE
alliance,alliance,,,,,,,,,,,,FALSE,FALSE
appointment,appointment,,,,,,,,,,,,FALSE,FALSE
armedconflict,armed conflict,,,,,,,,,,,,FALSE,FALSE
arrest,arrest,,,,,,1,,,,,,FALSE,TRUE
assassination,assassination,,,,,,,,,,,,FALSE,FALSE
austerity,austerity,,,,,,,,,,,,FALSE,FALSE
aviation_incident,incident,,,,,,,,,,,,FALSE,FALSE
ban,ban,,,,,,1,,,,,,FALSE,TRUE
black_market,market,,,,,,,,,,,,FALSE,FALSE
blockade,blockade,,,,,,1,,,,,,FALSE,TRUE
border,border,,,,,,,,,,,,FALSE,FALSE
bullying,bullying,,,,,,,,,,,,FALSE,FALSE
ceasefire,cease fire,,,,,,,,,,,,FALSE,FALSE
charasmatic_leadership,leadership,,,,,,,,,,,,FALSE,FALSE
checkpoint,checkpoint,,,,,,,,,,,,FALSE,FALSE
claim_credit,claim credit,,,,,,,,,,,,FALSE,FALSE
closure,closure,,,,,,,,,,,,FALSE,FALSE
confiscation,confiscation,,,,,,1,,,,,,FALSE,TRUE
constitutional,constitutional,,,,,,,,,,,,FALSE,FALSE
corruption,corruption,,,,,,1,,,,,,FALSE,TRUE
crime_cartels,cartels,,,,,,,,,,,,FALSE,FALSE
crime_common_robbery,common robbery,,,,,,,,,,,,FALSE,FALSE
crime_illegal_drugs,illegal drugs,,,,,,,,,,,,FALSE,FALSE
crime_looting,looting,,,,,,,,,,,,FALSE,FALSE
crisislex_c01_children_and_education,children education,,,,,,,,,,,,FALSE,FALSE
crisislex_c02_needsprovide_food,provide food,,,,,,,,,,,,FALSE,FALSE
crisislex_c03_wellbeing_health,wellbeing health,,,,,,,,,,,,FALSE,FALSE
crisislex_c04_logistics_transport,logistics transport,,,,,,,,,,,,FALSE,FALSE
crisislex_c05_need_of_shelters,need shelters,,,,,,,,,,,,FALSE,FALSE
crisislex_c06_water_sanitation,water sanitation,1,,,,,,,,,,,FALSE,TRUE
crisislex_c07_safety,safety,,,,,,,,,,,,FALSE,FALSE
crisislex_c08_telecom,telecom,,,,,,,,,,,,FALSE,FALSE
crisislex_crisislexrec,crisis,,,,,,,,,,,,FALSE,FALSE
crisislex_o01_weather,weather,,,,,,,,,1,,,FALSE,TRUE
crisislex_o02_responseagenciesatcrisis,response agencies at crisis,,,,,,,,,,,,FALSE,FALSE
crisislex_t01_caution_advice,caution advice,,,,,,,,,,,,FALSE,FALSE
crisislex_t02_injured,injured,,,,,,,,,,,,FALSE,FALSE
crisislex_t03_dead,dead,,,,,,,,,,,,FALSE,FALSE
crisislex_t04_infrastructure,infrastructure,,,,,,,,,,,,FALSE,FALSE
crisislex_t05_money,money,,,,,,,,,,,,FALSE,FALSE
crisislex_t06_supplies,supplies,,1,,,,,,,1,,,TRUE,TRUE
crisislex_t07_servicesneededoffered,services needed offered,,,,,,,,,,,,FALSE,FALSE
