Original,Human-readable,topic_2_environmental_regulation,topic_4_customer_orientation,topic_6_shareholder_affiliation,topic_8_hiring_employees,topic_9_natural_disaster,topic_11_litigation,topic_12_carbon_emissions,topic_13_labor_issues,topic_14_supply_chain_problems,topic_15_taxes,is_overlap
act_forceposture,force posture,,,,,,,,,,,
act_harmthreaten,harm threaten,,,,,,,,,,,
act_makestatement,make statement,,,,,,1,,1,,,
act_yield,yield,,,,,,,,1,,,
affect,affect,,,,,,,,,,,
agriculture,agriculture,1,,,,,,,,,,
aid_economic,economic,,,,,,,,,,,
aid_humanitarian,humanitarian,,,,,,,,,,,
alliance,alliance,,,,,,,,,,,
appointment,appointment,,,,,,,,,,,
armedconflict,armed conflict,,,,,,,,,,,
arrest,arrest,,,,,,1,,,,,
assassination,assassination,,,,,,,,,,,
austerity,austerity,,,,,,,,,,,
aviation_incident,incident,,,,,,,,,,,
ban,ban,,,,,,1,,,,,
black_market,market,,,,,,,,,,,
blockade,blockade,,,,,,1,,,,,
border,border,,,,,,,,,,,
bullying,bullying,,,,,,,,,,,
ceasefire,cease fire,,,,,,,,,,,
charasmatic_leadership,leadership,,,,,,,,,,,
checkpoint,checkpoint,,,,,,,,,,,
claim_credit,claim credit,,,,,,,,,,,
closure,closure,,,,,,,,,,,
confiscation,confiscation,,,,,,1,,,,,
constitutional,constitutional,,,,,,,,,,,
corruption,corruption,,,,,,1,,,,,
crime_cartels,cartels,,,,,,,,,,,
crime_common_robbery,common robbery,,,,,,,,,,,
crime_illegal_drugs,illegal drugs,,,,,,,,,,,
crime_looting,looting,,,,,,,,,,,
crisislex_c01_children_and_education,children education,,,,,,,,,,,
crisislex_c02_needsprovide_food,provide food,,,,,,,,,,,
crisislex_c03_wellbeing_health,wellbeing health,,,,,,,,,,,
crisislex_c04_logistics_transport,logistics transport,,,,,,,,,,,
crisislex_c05_need_of_shelters,need shelters,,,,,,,,,,,
crisislex_c06_water_sanitation,water sanitation,1,,,,,,,,,,
crisislex_c07_safety,safety,,,,,,,,,,,
crisislex_c08_telecom,telecom,,,,,,,,,,,
crisislex_crisislexrec,crisis,,,,,,,,,,,
crisislex_o01_weather,weather,,,,,,,,,1,,
crisislex_o02_responseagenciesatcrisis,response agencies at crisis,,,,,,,,,,,
crisislex_t01_caution_advice,caution advice,,,,,,,,,,,
crisislex_t02_injured,injured,,,,,,,,,,,
crisislex_t03_dead,dead,,,,,,,,,,,
crisislex_t04_infrastructure,infrastructure,,,,,,,,,,,
crisislex_t05_money,money,,,,,,,,,,,
crisislex_t06_supplies,supplies,,1,,,,,,,1,,
crisislex_t07_servicesneededoffered,services needed offered,,,,,,,,,,,
crisislex_t08_missingfoundtrappedpeople,missing found trapped people,,,,,,,,,,,
crisislex_t09_displacedrelocatedevacuated,displaced relocated evacuated,,,,,,,,,,,
crisislex_t11_updatessympathy,updates sympathy,,,,,,,,,,,
crm_arson,arson,,,,,,,,,,,
crm_bombthreat,bomb threat,,,,,,,,,,,
curfew,curfew,,,,,,,,,,,
cyber_attack,attack,,,,,,,,,,,
death_penalty,penalty,,,,,,,,,,,
defection,defection,,,,,,,,,,,
delay,delay,,,,,,,,,,,
democracy,democracy,,,,,,,,,,,
disability,disability,,,,,,,,,,,
disaster_fire,fire,,,,,,,,,,,
discrimination,discrimination,,,,,,,,,,,
discrimination_immigration,immigration,,,,,,,,,,,
discrimination_immigration_antiimmigrant,immigration anti immigrant,,,,,,,,,,,
discrimination_immigration_antiimmigration,immigration anti immigration,,,,,,,,,,,
discrimination_immigration_xenophobia,immigration xenophobia,,,,,,,,,,,
discrimination_immigration_xenophobic,immigration xenophobic,,,,,,,,,,,
discrimination_lgbt,lgb t,,,,,,,,,,,
discrimination_lgbt_antigay,lgb t antigay,,,,,,,,,,,
discrimination_lgbt_homophobia,lgb t homophobia,,,,,,,,,,,
discrimination_lgbt_homophobic,lgb t homophobic,,,,,,,,,,,
discrimination_race,race,,,,,,,,,,,
discrimination_race_racism,race racism,,,,,,,,,,,
discrimination_race_racist,race racist,,,,,,,,,,,
discrimination_religion,religion,,,,,,,,,,,
discrimination_religion_islamophobia,islam o phobia,,,,,,,,,,,
displaced,displaced,,,,,,,,,,,
drones,drones,,,,,,,,,,,
drug_trade,trade,,1,,,,,,,,,
econ_bankruptcy,bankruptcy,,,,,,,,,,,
econ_bitcoin,bit coin,,,,,,,,,,,
econ_boycott,boycott,,,,,,,,,,,
econ_bubble,bubble,,,,,,,,,,,
econ_budget_deficit,budget deficit,,,,,,,,,,,
econ_centralbank,central bank,,,,,,,,,,,
econ_cost_of_living,cost living,,,,,,,,,,,
econ_currency_exchange_rate,rate,,,,,,,,,,,
econ_currency_reserves,currency reserves,,,,,,,,,,,
econ_debt,debt,,,,,,,,,,,
econ_deflation,deflation,,,,,,,,,,,
econ_deregulation,deregulation,,,,,,,,,,,
econ_developmentorgs,development org s,,,,,,,,,,,
econ_developmentorgs_asian_development_bank,development bank,,,,,,,,,,,
econ_developmentorgs_international_monetary_fund,monetary fund,,,,,,,,,,,
econ_developmentorgs_international_organization_for_migration,organization migration,,,,,,,,,,,
econ_developmentorgs_organization_for_economic_cooperation,economic cooperation,,,,,,,,,,,
econ_developmentorgs_usaid,development org su said,,,,,,,,,,,
econ_developmentorgs_world_bank,bank,,,,,,,,,,,
econ_developmentorgs_world_food_programme,food programme,,,,,,,,,,,
econ_developmentorgs_world_health_organisation,health organisation,,,,,,,,,,,
econ_developmentorgs_world_health_organization,health organization,,,,,,,,,,,
econ_developmentorgs_world_trade_organization,trade organization,,,,,,,,,,,
econ_dieselprice,diesel price,,,,,,,,,,,
econ_earningsreport,earnings report,,,,,,,,,,,
econ_electricaldemand,electrical demand,,,,,,,1,,1,,
econ_electricalgeneration,electrical generation,,,,,,,1,,1,,
econ_electricalgrid,electrical grid,,,,,,,1,,,,
econ_electricalprice,electrical price,,,,,,,1,,,,
econ_emergingecon,emerging econ,,,,,,,,,,,
econ_entrepreneurship,entrepreneurship,,,,,,,,,,,
econ_foreignbanks,foreign banks,,,,,,,,,,,
econ_foreigninvest,foreign invest,,,,,,,,,,,
econ_freetrade,free trade,,,,,,,,,,,
econ_gasolineprice,gasoline price,,,,,,,1,,,,
econ_goldprice,gold price,,,,,,,,,,,
econ_heatingoil,heating oil,,,,,,,,,,,
econ_housing_prices,housing prices,,,,,,,,,,,
econ_identitytheft,identity theft,,,,,,,,,,,
econ_inflation,inflation,,,,,,,,,,,
econ_informal_economy,informal economy,,,,,,,,,,,
econ_interest_rates,interest rates,,,,,,,,,,,
econ_ipo,ipo,,,,,,,,,,,
econ_middleclass,middleclass,,,,,,,,,,,
econ_moneylaundering,money laundering,,,,,,,,,,,
econ_monopoly,monopoly,,,,,,,,,,,
econ_mou,mou,,,,,,,,,,,
econ_natgasprice,nat gas price,,,,,,,1,,,,
econ_oilprice,oil price,,,,,,,1,,,,
econ_pay_cuts,pay cuts,,,,,,,,,,,
econ_pricecontrol,price control,,,,,,,,,,,
econ_propane,propane,,,,,,,,,,,
econ_remittance,remittance,,,,,,,,,,,
econ_sovereign_debt,sovereign debt,,,,,,,,,,,
econ_stockmarket,stock market,,,,,,,,,,,
econ_subsidies,subsidies,,,,,,,,,,,
econ_taxation,taxation,,,,,,,,,,1,
econ_trade_dispute,trade dispute,,,,,,,,,,,
econ_transport_cost,transport cost,,,,,,,,,,,
econ_underemployment,underemployment,,,,,,,,,,,
econ_unions,unions,,,,,,,,,,,
econ_workingclass,working class,,,,1,,,,,,,
econ_worldcurrencies,world currencies,,,,,,,,,,,
econ_worldcurrencies_australian_dollar,dollar,,,,,,,,,,,
econ_worldcurrencies_british_pound,pound,,,,,,,,,,,
econ_worldcurrencies_canadian_dollar,dollar,,,,,,,,,,,
econ_worldcurrencies_dinar,world currencies dinar,,,,,,,,,,,
econ_worldcurrencies_dinars,world currencies dinars,,,,,,,,,,,
econ_worldcurrencies_dollar,world currencies dollar,,,,,,,,,,,
econ_worldcurrencies_dollars,world currencies dollars,,,,,,,,,,,
