text,label,label_name
So the overall investment amounted to some RUB 3.1 billion.,0,keep
"We remain well positioned at the end of second quartile, beginning of the third quartile.",0,keep
I hope this slide makes it clear that Coeur's financial profile has changed dramatically and that the company is very well positioned for the remainder of 2010.,0,keep
"And then, obviously, on the Outotec businesses, the order intake does have an impact on the cash flow generation.",0,keep
"The budget also includes $18.3 million for San Carlos, with approximately half allocated towards underground development and the remainder allocated towards the pre-strip of the open-pit portion of the deposit and construction of the bridge across the Mulatos River.",0,keep
And bulk of that contributor has been the VAT lockups and the cash loss in terms of South Africa.,0,keep
Our coal business is very exciting with robust fundamentals and market prices and are increasing production for just a nominal amount of capital per ton of increased production.,0,keep
"On the production side of things, the company produced 122,000 gold equivalent ounces, which was above our revised guidance of 115,000 to 120,000 gold equivalent ounces.",0,keep
And we're at the point now where we will start to build more of that higher grade into our forward plans.,0,keep
"I think important thing to point out is that our cash cost per recoverable ounce placed during the quarter -- so that is cash costs, which are our mining costs, our processing costs and our G&A site costs per recoverable ounce placed was only $565 an ounce.",0,keep
"To the right, we see the zinc, which is an effect of, basically, Tara.",0,keep
"And then beyond that, we have historical leach stacks and conceivably using this technology to replace concentrated investments with some of our sulfide ore bodies.",0,keep
And we're projecting the average return over variable cost per acre of corn to be at record levels.,0,keep
The non-GAAP reconciliations of these amounts are included in our 2016 second quarter earnings release available on our website.Now let me discuss our results for the second quarter.,0,keep
"So, a very solid growth profile and we're putting the assets on the ground, we're building a new company.",0,keep
The outcomes of the investigations are immediately shared with all sites of Vedanta for deploying the learnings across our site.,0,keep
"The effective implementation of social distancing in Chile and Brazil has been a model for all of our operations, with work on water and securing alternative sources in Chile being a real winner for the year.",0,keep
25 kilometers of resource drilling was completed on top of 46 kilometers of exploration drilling.,0,keep
"And so in this organization, how we organize work and our determination as staff to make sure this is where we have an impact.If we mentioned that we're working very well with the commercial department as well as our cokers, we're all working hand-in-hand and that we're reacting quickly, then we can say that we're able to achieve good results.",0,keep
And we don't have a regional layer in between to deal with things and to buffer.,0,keep
"Our share price during this period, January '16 to present, delivered a gain of greater than 3x the S&P and 2x the Dow and better than 100% gain in 22 months.",0,keep
And now we've executed $1 billion range in the third quarter where we raised capital at higher than market prices.,0,keep
"If you look at anything in Northern Chile, Southern Peru, you're going to have to factor in that you're, most likely, if you're going to take a project to production, you're going to have to look at desalination.",0,keep
"And as a result, the outlook of new global gold production is now declining.",0,keep
"In terms of sales, we haven't had any problems with our customers.",0,keep
We'll need about 600 beyond the finishing of the pit mining for reclamation effort for a number of years.,0,keep
"And we'll maintain the dividend type policy, $1 billion on the marketing, a minimum 25% on the free cash flow from the industrial side of the business.",0,keep
"At Zafranal, a feasibility study has been completed, and we have now received confirmation of our SEIA admissibility in Q1 2022.",0,keep
So it's not clear whether trucking cost would be higher than the reduction in processing costs.,0,keep
"And certainly, we've -- we're looking forward to next year and continue the drilling.",0,keep
"So we still look like we're okay, with fuel running West Texas sort of about $95 or so.",0,keep
"And the other expenditures are to ensure for our KGHM that we have the flexibility in our Victoria project contracts, and that is why we have embarked on investment projects.",0,keep
