text,label
"2020 full year capital expenditures of $128 million, including expenditures on the Zinc Expansion Project, were modestly greater than the guidance of $120 million, as additional mobile mine equipment was purchased in the fourth quarter.",0
"In September, they showed a growth of 25%.",0
We have never been positioned so well to continue to grow our business.,0
"This is across the Americas' region, at $534 an ounce.",0
"Our view is if there is opportunities at San Vicente with the exploration successes that we're seeing and the potential out there are, there is opportunities we believe in the future to start to consider some increased production rates .",0
"Taking into account forecasted cash flow, capital expenditure outflows, available cash and committed facilities, the company expects to have sufficient liquidity through the next 12 months to carry out its operating and capital expenditure plan and remain in full compliance with financial covenants.",0
"And you can see, we talk about jurisdictions, in Switzerland, certainly.",0
"Garpenberg is, well, we will know what it is.",0
All amounts are in U.S. dollars unless otherwise indicated.,0
"Centerra will benefit from the cash flow and the all-in sustaining costs per ounce perspective in the fourth quarter with the 49,000 gold dore ounces on hand currently in inventory at a cost of $635 per ounce.",0
"Overall, the company's cash balances increased by $43 million in the second quarter of 2010, resulting in cash on hand as of June 30 of $323 million.",0
"It's them that are turning around the business, not necessarily me.",0
"So yes, before I talk to our cash and cost slides, let me touch briefly on capital management.",0
"Some of '15 tons got shoved into '16, which creates a little less opportunity in '16.",0
"And there's still a few, I wouldn't say chinks in that particular thing, but while we were going through the process for 2013, when we had first half 2013 numbers, that was put together fairly close after the transaction closed.",0
"There, you can reach much more reliably from macro data the sort of order bookings than in projects.",0
"As we have always said, the revised Kumtor investment agreement signed in 2009 is a solid agreement and through constructive dialog were committed to seeking a mutually beneficial resolution that is fair and in the interests of all Centerra shareholders, with a view to ensuring the continued success of Kumtor.",0
This also reflects our disciplined approach to treasury management and capital allocation together with our commitment at all times to act in the interest of all shareholders as we had outlined earlier.,0
This represents an increased sales volume of 4% over '17 and 8% over '16.,0
"I think clearly as we look forward, we need to strengthen our finances.",0
Just give me a second.,0
"That's our normal maintenance shutdown that -- we used to have it at the end of the year and now we put it to May, which is much better for us.",0
Metallurgical tests have been favorable.,0
"We will look at this as a long term ore body thats going to provide really strong volumes at very low cost and strong cash flows, and thats was we operate this things for.",0
So there is a time given to them to lift the coal.,0
"For investments and other assets, we paid $44 million on expenditures and received $11 million in proceeds.",0
"Okay, so what did we miss?",0
"So overall, as an -- and as I said a little earlier, group level costs increased to ZAR 13,450 per platinum ounce.",0
The other $9 million will be spent on equipment and pad construction.,0
"In the next slide, we see our investments going to BRL 404 million in the second quarter.",0
Ammonia prices have also firmed over the past few months.,0
We use these measures and ratios in managing our business.,0
Milligan; and we are in a market environment that there is a demand for our investment dollar.,0
"In terms of balance sheet, Warrick, do you want to -- is there anything you want to add?",0
And we've got some new people joining our senior leadership team that we're quite excited about.,0
We got a lot of momentum going with that side of the business.,0
The numbers we have posted over the past 4 years are really testament to Ron's status as one of the world's best mining operators.,0
This resulted in free cash flow conversion of 112% this quarter versus last year's third quarter of 50%.,0
The South African underground operations improved markedly over the first quarter.,0
Where we'll likely see a little bit of pickup or further reduction in the per ton cost would be on the processing and then on the G&A side.,0
It's going to be harder on the communities.,0
