symbol,filing_time,n_sentences,n_actions,n_sentences_topic_cluster_total,n_actions_topic_cluster_total,n_sentences_topic_pillar_total,n_actions_topic_pillar_total,n_sentences_topic_cluster_environmental_regulation,n_actions_topic_cluster_environmental_regulation,n_sentences_topic_cluster_customer_orientation,n_actions_topic_cluster_customer_orientation,n_sentences_topic_cluster_shareholder_affiliation,n_actions_topic_cluster_shareholder_affiliation,n_sentences_topic_cluster_hiring_employees,n_actions_topic_cluster_hiring_employees,n_sentences_topic_cluster_natural_disaster,n_actions_topic_cluster_natural_disaster,n_sentences_topic_cluster_litigation,n_actions_topic_cluster_litigation,n_sentences_topic_cluster_carbon_emissions,n_actions_topic_cluster_carbon_emissions,n_sentences_topic_cluster_labor_issues,n_actions_topic_cluster_labor_issues,n_sentences_topic_cluster_supply_chain_problems,n_actions_topic_cluster_supply_chain_problems,n_sentences_topic_cluster_taxes,n_actions_topic_cluster_taxes,n_sentences_topic_pillar_environmental,n_actions_topic_pillar_environmental,n_sentences_topic_pillar_social,n_actions_topic_pillar_social,n_sentences_topic_pillar_governance,n_actions_topic_pillar_governance
abml,2013-12-01,135,15,96,14,29,4,7,0,35,3,24,3,6,2,3,1,5,1,1,0,1,0,10,2,4,2,15,2,7,2,7,0
abml,2015-01-01,111,13,83,9,26,4,5,0,28,1,24,3,7,2,3,1,6,1,1,0,1,0,6,0,2,1,13,2,6,2,7,0
abml,2015-12-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abml,2016-12-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abml,2018-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abml,2018-12-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abml,2019-12-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abml,2021-10-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abml,2022-09-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amr,2019-04-01,544,56,667,54,245,27,97,19,186,5,74,9,12,1,21,1,53,4,68,5,16,1,109,7,31,2,123,12,84,12,38,3
amr,2020-03-01,532,57,652,57,234,21,83,10,190,12,79,18,14,2,20,0,50,4,64,2,15,1,104,5,33,3,114,6,87,13,33,2
amr,2021-03-01,538,54,706,57,271,25,105,13,193,8,74,12,16,3,27,1,52,4,73,4,18,1,117,8,31,3,135,9,101,13,35,3
amr,2022-03-01,510,47,676,47,269,19,102,11,183,8,72,9,18,3,28,0,55,2,64,4,17,0,108,6,29,4,130,6,105,10,34,3
arch,2006-03-01,180,24,191,13,66,10,19,1,61,4,8,1,7,2,7,0,15,0,20,1,6,0,44,4,4,0,34,3,28,6,4,1
arch,2007-03-01,153,27,141,14,44,8,17,1,46,4,7,2,3,1,6,0,13,0,14,2,4,0,27,4,4,0,24,4,17,4,3,0
arch,2008-02-01,150,28,157,14,46,8,22,1,51,5,5,1,3,1,8,0,13,0,17,2,4,0,30,4,4,0,25,4,17,4,4,0
arch,2009-02-01,260,33,295,22,100,9,40,2,88,9,12,0,4,1,9,0,17,1,47,2,5,0,70,7,3,0,70,4,27,5,3,0
arch,2010-03-01,282,33,326,22,106,9,46,2,100,9,14,0,3,0,9,0,21,2,51,2,3,0,73,7,6,0,75,4,24,5,7,0
arch,2011-03-01,244,33,289,25,97,10,45,4,86,8,11,0,1,0,7,0,24,4,45,2,2,0,60,7,8,0,64,5,27,5,6,0
arch,2012-02-01,273,34,307,24,106,9,46,4,94,8,14,0,2,0,7,0,25,4,45,2,3,0,64,6,7,0,68,4,30,5,8,0
arch,2013-03-01,265,34,304,28,97,11,48,4,99,11,14,0,1,0,6,0,25,4,44,2,3,1,57,6,7,0,62,5,29,6,6,0
arch,2014-02-01,258,33,299,26,94,10,48,4,98,10,13,0,1,0,6,0,24,4,43,2,3,1,56,5,7,0,61,4,27,6,6,0
arch,2015-02-01,264,34,310,30,102,12,48,4,99,11,14,0,1,0,6,0,29,5,43,2,3,1,60,7,7,0,65,6,30,6,7,0
arch,2016-03-01,341,39,416,37,158,15,68,6,121,12,38,2,6,0,9,0,37,6,57,2,3,1,68,7,9,1,89,7,58,7,11,1
arch,2017-02-01,293,34,375,32,132,10,59,3,113,12,20,2,6,0,10,0,32,4,55,2,3,1,65,8,12,0,86,5,35,5,11,0
arch,2018-02-01,302,38,387,37,145,13,71,6,105,10,19,2,5,0,10,0,30,3,60,4,3,1,65,8,19,3,90,7,38,4,17,2
arch,2019-02-01,343,37,457,41,187,15,86,7,116,10,22,2,5,0,14,0,38,3,72,5,5,1,73,8,26,5,110,8,51,4,26,3
arch,2020-02-01,353,37,481,45,189,18,85,8,119,9,33,3,5,0,18,1,37,3,72,6,5,1,77,8,30,6,108,9,55,5,26,4
arch,2021-02-01,364,32,475,42,191,17,87,8,119,10,24,2,4,0,21,0,33,3,78,6,6,0,84,10,19,3,113,9,60,5,18,3
arch,2022-02-01,376,39,495,47,201,22,101,12,119,9,21,3,7,0,20,0,36,3,80,7,4,0,88,10,19,3,119,11,64,7,18,4
arlp,2006-03-01,278,21,275,27,104,8,33,4,69,5,17,4,6,0,8,1,18,1,23,4,7,0,47,2,47,6,44,4,33,3,27,1
arlp,2007-03-01,340,25,368,34,119,7,30,4,98,8,66,8,8,0,8,1,20,1,21,2,8,0,43,2,66,8,43,2,37,4,39,1
arlp,2008-02-01,331,28,366,36,125,14,31,4,95,8,66,6,9,0,4,0,21,2,17,2,8,0,42,3,73,11,39,3,36,5,50,6
arlp,2009-03-01,352,26,398,32,138,15,41,5,103,5,64,5,9,0,6,0,22,2,28,2,9,0,47,3,69,10,52,4,37,5,49,6
arlp,2010-02-01,386,35,465,48,165,22,60,11,106,5,72,6,9,0,10,0,33,6,39,6,9,0,51,3,76,11,65,9,48,6,52,7
arlp,2011-02-01,360,33,431,47,151,23,47,7,104,6,71,9,14,3,7,0,26,4,31,1,9,0,49,4,73,13,53,4,48,10,50,9
arlp,2012-02-01,370,34,445,47,162,22,52,8,105,6,71,9,13,3,8,0,28,3,33,2,10,0,51,3,74,13,59,5,50,8,53,9
arlp,2013-03-01,392,36,467,49,172,24,55,9,103,6,78,9,13,3,9,0,29,3,34,3,10,0,52,3,84,13,63,6,48,8,61,10
arlp,2014-02-01,397,38,509,53,181,26,56,10,116,7,92,10,13,3,7,0,30,2,36,4,9,0,58,3,92,14,65,6,51,9,65,11
arlp,2015-02-01,383,36,460,46,166,22,56,9,101,5,76,9,12,3,7,0,26,2,41,3,7,0,52,3,82,12,60,4,45,7,61,11
arlp,2016-02-01,443,40,576,50,219,25,70,8,122,6,97,11,10,3,14,0,32,2,61,3,6,0,64,3,100,14,85,3,60,9,74,13
arlp,2017-02-01,429,42,521,51,199,20,64,8,108,6,83,11,8,3,16,1,30,2,55,3,6,0,58,4,93,13,76,3,53,7,70,10
arlp,2018-02-01,432,48,532,69,200,27,67,13,109,7,89,15,8,3,15,1,35,3,49,4,7,0,59,5,94,18,74,5,51,9,75,13
