symbol,filing_time,n_sentences,n_actions,n_sentences_topic_cluster_total,n_actions_topic_cluster_total,n_sentences_topic_pillar_total,n_actions_topic_pillar_total,n_sentences_topic_cluster_customer_orientation,n_actions_topic_cluster_customer_orientation,n_sentences_topic_cluster_shareholder_affiliation,n_actions_topic_cluster_shareholder_affiliation,n_sentences_topic_cluster_hiring_employees,n_actions_topic_cluster_hiring_employees,n_sentences_topic_cluster_natural_disaster,n_actions_topic_cluster_natural_disaster,n_sentences_topic_cluster_litigation,n_actions_topic_cluster_litigation,n_sentences_topic_cluster_carbon_emissions,n_actions_topic_cluster_carbon_emissions,n_sentences_topic_cluster_labor_issues,n_actions_topic_cluster_labor_issues,n_sentences_topic_cluster_supply_chain_problems,n_actions_topic_cluster_supply_chain_problems,n_sentences_topic_cluster_taxes,n_actions_topic_cluster_taxes,n_sentences_topic_pillar_environmental,n_actions_topic_pillar_environmental,n_sentences_topic_pillar_social,n_actions_topic_pillar_social,n_sentences_topic_pillar_governance,n_actions_topic_pillar_governance
abml,2013-12-01,135,15,58,5,45,7,23,1,12,0,3,0,2,1,7,2,3,0,1,0,5,1,2,0,5,0,10,3,30,4
abml,2015-01-01,111,13,54,4,39,7,21,0,12,0,3,0,2,1,7,2,3,0,1,0,5,1,0,0,3,0,9,3,27,4
abml,2015-12-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abml,2016-12-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abml,2018-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abml,2018-12-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abml,2019-12-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abml,2021-10-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abml,2022-09-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amr,2019-04-01,544,56,342,23,256,37,108,4,35,3,16,2,11,0,34,4,60,7,8,0,47,2,23,1,44,7,65,9,147,21
amr,2020-03-01,532,57,346,24,249,35,111,5,37,8,17,4,14,0,31,1,55,4,8,0,51,1,22,1,40,2,61,10,148,23
amr,2021-03-01,538,54,401,28,283,35,116,4,40,6,21,4,20,0,35,1,77,9,11,0,61,3,20,1,60,5,70,8,153,22
amr,2022-03-01,510,47,377,23,272,28,108,4,38,5,22,4,21,0,35,1,61,6,12,0,59,2,21,1,60,4,63,5,149,19
arch,2006-03-01,180,24,95,7,53,10,33,2,2,1,6,1,4,0,10,0,14,0,2,0,22,3,2,0,13,2,13,5,27,3
arch,2007-03-01,153,27,74,6,41,9,27,3,1,0,5,1,4,0,7,0,14,0,0,0,15,2,1,0,10,2,11,4,20,3
arch,2008-02-01,150,28,78,6,42,9,29,3,1,0,5,1,4,0,8,0,16,0,0,0,14,2,1,0,14,2,10,4,18,3
arch,2009-02-01,260,33,165,12,85,9,59,8,3,0,5,1,5,0,14,0,47,0,2,1,28,2,2,0,26,1,21,4,38,4
arch,2010-03-01,282,33,180,13,102,9,67,9,4,0,5,1,5,0,15,0,50,0,2,1,30,2,2,0,31,1,25,4,46,4
arch,2011-03-01,244,33,157,13,102,13,58,8,4,0,2,0,4,0,16,1,39,0,2,1,29,3,3,0,29,3,28,4,45,6
arch,2012-02-01,273,34,161,13,106,14,62,8,7,0,1,0,3,0,16,1,38,0,2,1,29,3,3,0,28,3,28,4,50,7
arch,2013-03-01,265,34,151,12,108,15,58,7,3,0,1,0,3,0,18,1,36,0,2,1,27,3,3,0,27,3,29,4,52,8
arch,2014-02-01,258,33,149,11,105,15,57,6,3,0,1,0,3,0,18,1,35,0,2,1,27,3,3,0,27,3,27,4,51,8
arch,2015-02-01,264,34,155,12,107,15,59,7,3,0,2,0,6,0,20,1,35,0,1,1,27,3,2,0,27,3,29,4,51,8
arch,2016-03-01,341,39,198,13,160,16,67,6,9,0,6,0,8,0,30,3,45,0,1,1,30,3,2,0,36,3,38,4,86,9
arch,2017-02-01,293,34,204,10,150,12,71,7,6,0,6,0,9,0,22,0,54,0,1,1,29,2,6,0,37,1,37,3,76,8
arch,2018-02-01,302,38,207,12,172,19,65,6,10,1,5,0,9,0,24,0,56,1,2,1,28,3,8,0,45,3,38,3,89,13
