topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99,topic_100,topic_101,topic_102,topic_103,topic_104,topic_105,topic_106,topic_107,topic_108,topic_109,topic_110,topic_111,topic_112,topic_113,topic_114,topic_115,topic_116,topic_117,topic_118,topic_119,topic_120,topic_121,topic_122,topic_123,topic_124,topic_125,topic_126,topic_127,topic_128,topic_129,topic_130,topic_131,topic_132,topic_133,topic_134,topic_135,topic_136,topic_137,topic_138,topic_139,topic_140,topic_141,topic_142,topic_143
regulation,estimate,integrate,union,impairment,acceptable,cow,dollar,reclamation,retain,immaterial,internal,permit,insurance,pandemic,consumption,litigation,covenant,customer,joint,certificate,downturn,history,partner,irs,technology,decline,discover,title,violation,revolve,greenhouse,hazard,election,legislation,stock,bond,refinance,political,instability,ounce,water,transportation,manufacturer,nmhgs,combination,contract,chief,consolidate,stream,hazardous,consolidation,community,prefer,disposal,treat,stock,hedge,violence,emission,conflict,metal,cristobal,shortage,nutrition,steel,warrant,integrate,unite,delist,outside,feasibility,compete,foreseeable,dilute,weather,stream,velardena,default,pension,energy,indebtedness,chapter,go,protect,ever,feasibility,dilution,peso,underground,smelter,area,pattern,retail,tailing,stage,operator,guide,dividend,incorporation,consumer,gas,common,inflation,transaction,climate,expand,last,next,authorization,steel,black,return,debenture,contractor,supplier,subsidiary,grupo,ratio,grasberg,kinross,tariff,claim,delivery,repurchase,sec,director,mill,guide,silica,infrastructure,molybdenum,class,defer,joint,dilution,fine,rating,combustion,freeport,skilled,import,derivative,equivalent
stringent,mineralization,acquisition,bargain,live,raise,indonesian,currency,closure,attract,carefully,report,approval,insure,covid,utility,proceeding,indenture,supply,venture,incorporation,economic,foreseeable,general,taxable,system,beyond,ore,defect,criminal,borrow,emission,damage,peruvian,tax,common,surety,borrowing,international,political,pound,rainfall,truck,margin,nmhg,initial,termination,executive,remediation,royalty,waste,producer,social,convertible,substance,irs,common,derivative,incident,epa,director,ounce,san,skilled,plant,diesel,share,technology,jurisdiction,nyse,political,estimate,competitor,dividend,dilution,extreme,operator,property,borrowing,benefit,electricity,refinance,bankruptcy,concern,defect,profitably,study,issuance,inflation,grasberg,concentrate,locate,rainfall,hbb,rock,exploration,replace,construction,declare,vote,downturn,oil,stock,regional,propose,carbon,probable,three,expenditure,grant,metallurgical,bond,estimate,convertible,occurrence,hbb,dividend,director,leverage,district,share,import,title,nacoal,dividend,guide,officer,fee,sec,plant,maintenance,repay,litigation,taxable,venture,equity,responsibility,rat,climate,road,attract,deposit,post,customer
law,reserve,successfully,collective,write,capital,indonesia,denominate,remediation,personnel,presently,weakness,renew,premium,crisis,electricity,legal,indebtedness,sale,partner,delaware,global,ever,unitholders,unit,attack,extend,extract,challenge,civil,borrowing,carbon,injury,peru,enact,nyse,letter,indebtedness,country,country,per,physical,customer,compete,truck,complete,specify,officer,statement,operator,substance,competitor,safety,stock,waste,taxation,market,forward,way,fire,officer,silver,lender,equipment,product,commodity,common,effectively,foreign,list,regional,differ,competition,pay,equity,severe,royalty,discover,indebtedness,plan,natural,debt,code,independent,right,history,todd,dilute,denominate,open,bar,tailing,physical,weakness,transport,ever,royalty,todd,discretion,merger,seasonal,natural,share,ounce,arrangement,regional,positive,year,capital,permit,demand,reclamation,actual,conversion,bar,product,repay,conflict,covenant,social,common,steel,defect,unexpected,stock,mineralize,judgment,uranium,extract,serve,road,commodity,volatility,income,profit,issuance,stringent,debt,carbon,incident,retain,size,instrument,derive
enforcement,recoverable,acquire,stoppage,carry,fund,freeport,peso,bond,skilled,look,disclosure,necessary,coverage,health,electric,outcome,govern,ton,hold,stockholder,economy,positive,partnership,income,information,fluctuate,feasibility,claim,fine,indebtedness,climate,flood,inflation,taxation,share,collateral,debt,instability,argentina,average,supply,supply,competitor,manufacturer,target,customer,key,detail,defect,disposal,competition,infrastructure,liquidation,protection,purpose,nyse,call,criminal,power,opportunity,zinc,project,supply,demand,fuel,exercise,pursue,outside,american,beyond,study,attract,discretion,issuance,flood,mineralization,best,lender,retirement,supply,revolve,emergence,raise,title,precious,estimate,share,dollar,temporarily,china,rainfall,climate,sector,area,infrastructure,stream,sec,board,election,hbb,utility,delist,gold,negotiate,combustion,successfully,item,several,consent,producer,assume,uncertain,dilution,third,deliver,indebtedness,mexico,senior,indonesia,option,china,challenge,problem,common,convert,stockholder,recover,reserve,creek,adequate,copper,divert,tax,realize,acquisition,environmental,borrow,institution,indonesian,executive,infrastructure,hedge,replacement
interpretation,ore,strategic,labor,charge,refinance,government,exchange,post,key,deem,procedure,obtain,hazard,global,power,pending,revolve,term,arrangement,provision,weakness,generate,affiliate,unitholders,breach,factor,reserve,property,penalty,credit,gas,unexpected,political,federal,delist,reclamation,revolve,outside,bolivia,silver,shortage,deliver,competition,margin,business,terminate,hire,discussion,data,epa,domestic,incident,holder,storage,income,volatile,contract,civil,air,affiliate,royalty,derivative,critical,application,supply,dilution,successfully,state,stock,activity,return,technical,never,convertible,seasonal,estimate,operator,covenant,specify,gas,indenture,emerge,april,surface,positive,positive,convertible,currency,accident,alternative,flood,weather,lose,construct,history,reserve,start,pay,director,electric,electricity,dilution,expectation,acquisition,greenhouse,prove,quarter,expansion,obtain,tariff,estimate,pension,share,black,supply,loan,vote,indenture,instability,stock,export,discovery,customer,share,ever,monetary,evaluation,economically,combine,important,decline,attention,recognize,reserve,acceptable,assessment,covenant,fuel,grasberg,compete,export,collateral,purchase
regulatory,prove,realize,strike,record,need,ministry,foreign,surety,hire,describe,effective,license,cover,disrupt,generation,dispute,debt,five,enter,director,volatility,profitably,distribution,gain,data,volatile,prove,coeur,anti,loan,combustion,personal,president,proposal,market,post,repay,social,economy,range,seasonal,availability,product,downturn,stockholder,agree,retain,see,interest,injury,demand,stringent,series,hazardous,partnership,volatility,instrument,disrupt,greenhouse,present,stream,borrowing,productivity,brazil,consume,convertible,opportunity,panel,common,country,actual,hire,board,stock,temporarily,reserve,discovery,debt,return,diesel,covenant,liquidation,audit,contractual,unsuccessful,guide,equity,mexican,incident,shipment,encounter,shortage,consumer,system,discover,revenue,project,director,stockholder,fluctuate,fuel,dilute,silver,proposal,emission,reserve,seasonal,sustain,necessary,reduce,collateral,profitable,issuance,construction,customer,distribution,affiliate,revolve,attack,liquidity,international,damage,weather,delist,reserve,incorporation,scale,feasibility,commercial,weather,fix,stock,benefit,stage,percentage,enforcement,credit,concern,indonesia,personnel,land,margin,total
regulate,inaccurate,anticipate,workforce,asset,sufficient,extension,canadian,requirement,executive,follow,sec,governmental,occurrence,initiative,source,lawsuit,restrictive,long,property,board,availability,fiscal,manage,tax,incident,profitability,probable,review,law,outstanding,fuel,accident,social,income,volatile,obligation,principal,foreign,peru,zinc,availability,transport,retail,revenue,certificate,shipment,attract,note,contractual,release,capacity,peru,entitle,air,tax,fluctuation,option,attack,carbon,incorporation,pound,chief,labor,customer,electricity,stock,harm,international,board,america,profitable,retain,stock,share,damage,prove,interest,refinance,define,power,senior,indebtedness,continue,claim,discovery,assumption,common,peruvian,injury,disruption,violence,extreme,pressure,management,acquire,discovery,approval,indenture,shareholder,spend,energy,nyse,china,completion,change,life,five,return,approval,domestic,responsible,anticipate,common,outside,delivery,pay,exercise,indebtedness,political,call,domestic,land,maintenance,board,estimate,bring,basis,discover,end,supply,debt,common,gain,evaluation,dilute,penalty,revolve,emission,mill,hire,accurately,rating,lose
fine,assumption,opportunity,expire,inventory,obtain,work,rate,environmental,qualify,forward,registration,timely,elect,monitor,demand,monetary,restriction,expire,responsible,amend,demand,achieve,consent,treat,disruption,inventory,establish,divert,enforcement,debt,initiative,monetary,economy,audit,trade,guarantee,sufficient,tariff,social,copper,area,temporarily,hbb,currency,incorporation,provision,skilled,environmental,stage,damage,metallurgical,pressure,common,safety,federal,delist,commodity,grasberg,plant,relationship,gold,loan,miner,weather,movement,issuance,strategic,arise,trade,social,anticipate,great,earn,issue,rainfall,interest,exploration,repay,fund,fuel,borrowing,debt,foreseeable,technology,mineralize,project,stock,rate,complex,late,grasberg,change,customer,waste,property,unless,delay,quarterly,certificate,quarterly,demand,equity,crisis,incorporation,pending,success,net,beyond,todd,low,surety,assumption,principal,party,timely,liquidation,officer,secure,indonesian,delist,foreign,location,replacement,nyse,indicate,lawsuit,ministry,deposit,availability,power,publicly,often,net,lack,convertible,regulation,indebtedness,greenhouse,transport,key,uranium,credit,find
safety,geological,expansion,represent,value,additional,export,australian,regulation,chief,know,public,lease,reasonable,restriction,renewable,claim,senior,extension,interest,difficult,tariff,never,unit,purpose,scope,value,mineralization,satisfactory,safety,senior,electricity,occurrence,economic,regulation,list,secure,lender,argentina,conduct,low,america,difficulty,competitive,nutrition,amend,deliver,personnel,collateral,typically,remediation,compete,health,dividend,health,entity,share,expose,instability,gas,grupo,copper,completion,input,volume,energy,outstanding,growth,subject,share,consequently,economic,skilled,common,common,instability,probable,probable,revolve,contribute,consumption,borrow,subsidiary,fiscal,third,prove,complete,issue,exchange,rock,sale,temporarily,water,major,scale,positive,derive,carry,quarter,corporate,weather,consumption,kinross,metal,nyse,regulation,acquire,analysis,anticipate,authority,revenue,pension,record,option,conduct,unanticipated,indenture,outcome,credit,violence,institution,producer,legal,emergence,discretion,report,unite,allow,prove,weather,water,market,security,asset,sec,ownership,evolve,senior,unfavorable,area,employee,body,surety,term
environmental,recover,unknown,work,recognize,available,grasberg,fluctuation,letter,employee,consider,rule,authorization,liability,disruption,fuel,bring,credit,agreement,excess,prevent,crisis,revenue,vote,audit,evolve,gold,drill,investigation,license,default,energy,encounter,instability,responsibility,fluctuate,satisfy,outstanding,peru,violence,gold,pattern,weather,large,product,entity,contractual,life,liability,property,medium,expand,increasingly,share,regulation,taxable,volume,enter,indonesia,regulate,interest,revenue,covenant,hire,salt,input,option,attract,court,security,instability,assumption,producer,director,stockholder,productivity,mineralize,mineralization,instrument,record,utility,repay,indenture,end,competitive,lose,bar,shareholder,publicly,occur,sell,unexpected,carbon,economy,active,develop,mineralize,feasibility,stock,outstanding,prolong,electric,issuance,fluctuate,complete,legislation,acquisition,molybdenum,exist,appropriate,thereby,assumption,phase,stock,miner,disruption,default,stockholder,debt,incident,repurchase,unite,civil,generation,declare,define,delaware,concession,mineralize,transportation,source,volatility,market,irs,prohibit,indebtedness,degree,ratio,demand,miner,chief,grade,trade,revenue
