topic_num,keyword,suggest_delete_anne,suggest_delete_tony,suggest_delete_any,suggest_delete_both,cosine_score,topic_name
4,customer,,,,,0.4407,customer_orientation
4,demand,,,,,0.3292,customer_orientation
4,sale,,,,,0.3236,customer_orientation
4,margin,,,,,0.3184,customer_orientation
4,revenue,,,,,0.3043,customer_orientation
4,product,,,,,0.3038,customer_orientation
4,manufacturer,,,,,0.3033,customer_orientation
4,electric,,1,1,,0.2927,customer_orientation
4,hbb,1,1,1,1,0.2898,customer_orientation
4,steel,1,1,1,1,0.2879,customer_orientation
4,retail,,,,,0.286,customer_orientation
4,downturn,,,,,0.2809,customer_orientation
4,competitor,,,,,0.2734,customer_orientation
4,producer,,,,,0.2686,customer_orientation
4,nmhgs,1,1,1,1,0.2675,customer_orientation
4,supply,,,,,0.2657,customer_orientation
4,competition,,,,,0.2637,customer_orientation
4,sell,,,,,0.2623,customer_orientation
4,domestic,,,,,0.2582,customer_orientation
4,consolidation,,1,1,,0.2535,customer_orientation
4,metallurgical,1,1,1,1,0.2497,customer_orientation
4,nutrition,1,1,1,1,0.2433,customer_orientation
4,profitability,,,,,0.2412,customer_orientation
4,market,,,,,0.2405,customer_orientation
4,contract,,,,,0.2383,customer_orientation
6,director,,,,,0.4955,shareholder_affiliation
6,incorporation,,,,,0.4717,shareholder_affiliation
6,stockholder,,,,,0.4242,shareholder_affiliation
6,certificate,,,,,0.4213,shareholder_affiliation
6,partner,,,,,0.4015,shareholder_affiliation
6,officer,,,,,0.3973,shareholder_affiliation
6,delaware,,1,1,,0.394,shareholder_affiliation
6,vote,,,,,0.3876,shareholder_affiliation
6,merger,,,,,0.3713,shareholder_affiliation
6,conflict,,1,1,,0.3669,shareholder_affiliation
6,affiliate,,,,,0.3543,shareholder_affiliation
6,combination,,1,1,,0.3273,shareholder_affiliation
6,grupo,1,1,1,1,0.3232,shareholder_affiliation
6,unitholders,,,,,0.3212,shareholder_affiliation
6,partnership,,,,,0.3082,shareholder_affiliation
6,board,,,,,0.3012,shareholder_affiliation
6,general,1,1,1,1,0.2904,shareholder_affiliation
6,transaction,,,,,0.2875,shareholder_affiliation
6,corporate,,,,,0.2866,shareholder_affiliation
6,venture,,,,,0.2727,shareholder_affiliation
6,common,,1,1,,0.2655,shareholder_affiliation
6,elect,,,,,0.2651,shareholder_affiliation
6,joint,,1,1,,0.2612,shareholder_affiliation
6,provision,,1,1,,0.2602,shareholder_affiliation
6,consent,,,,,0.2542,shareholder_affiliation
8,hire,,,,,0.4898,hiring_employees
8,retain,,,,,0.482,hiring_employees
8,attract,,,,,0.468,hiring_employees
8,skilled,,,,,0.4588,hiring_employees
8,personnel,,,,,0.4584,hiring_employees
8,key,,,,,0.4134,hiring_employees
8,chief,,,,,0.4101,hiring_employees
8,executive,,,,,0.3962,hiring_employees
8,successfully,1,1,1,1,0.3814,hiring_employees
8,success,1,1,1,1,0.3755,hiring_employees
8,integrate,,1,1,,0.3621,hiring_employees
8,acquisition,,1,1,,0.307,hiring_employees
8,qualify,,,,,0.3057,hiring_employees
8,employee,,,,,0.2945,hiring_employees
8,acquire,,1,1,,0.2885,hiring_employees
8,technical,,1,1,,0.2859,hiring_employees
8,strategic,,1,1,,0.2858,hiring_employees
8,suitable,,,,,0.2835,hiring_employees
8,growth,,1,1,,0.2771,hiring_employees
8,life,1,1,1,1,0.2692,hiring_employees
8,effectively,1,1,1,1,0.2566,hiring_employees
8,compete,,1,1,,0.2554,hiring_employees
8,highly,1,1,1,1,0.2397,hiring_employees
8,experience,,,,,0.2337,hiring_employees
8,expand,,1,1,,0.2328,hiring_employees
9,flood,,,,,0.4005,natural_disaster
9,hazard,,,,,0.3903,natural_disaster
9,damage,,,,,0.3576,natural_disaster
9,occurrence,,1,1,,0.3438,natural_disaster
9,accident,,,,,0.3404,natural_disaster
9,injury,,,,,0.3348,natural_disaster
9,insurance,,,,,0.3275,natural_disaster
9,unexpected,,,,,0.3207,natural_disaster
9,pandemic,,,,,0.3129,natural_disaster
9,underground,,,,,0.3039,natural_disaster
9,weather,,,,,0.3026,natural_disaster
9,severe,,,,,0.292,natural_disaster
9,rainfall,,,,,0.2836,natural_disaster
9,event,,1,1,,0.2771,natural_disaster
9,rock,,,,,0.2742,natural_disaster
9,disrupt,,,,,0.2678,natural_disaster
9,monetary,1,1,1,1,0.2664,natural_disaster
9,covid,,,,,0.2661,natural_disaster
9,insure,,,,,0.2571,natural_disaster
9,grasberg,1,1,1,1,0.2562,natural_disaster
9,interruption,,,,,0.2545,natural_disaster
9,temporarily,,1,1,,0.2525,natural_disaster
9,incident,,,,,0.2493,natural_disaster
9,extreme,,,,,0.2473,natural_disaster
9,encounter,,,,,0.2346,natural_disaster
11,claim,,,,,0.4112,litigation
11,title,,,,,0.4066,litigation
11,defect,,,,,0.3973,litigation
11,litigation,,,,,0.3774,litigation
