topic_name,topic_num,keyword,drop_th
environmental,0,ecological,
environmental,0,economic,1
environmental,0,environment,
environmental,0,development,1
environmental,0,nature,
environmental,0,industry,1
environmental,0,chemical,1
environmental,0,investment,1
environmental,0,health,
environmental,0,ecology,
environmental,0,resource,
environmental,0,conservation,
environmental,0,sustainability,
environmental,0,chemicals,1
environmental,0,quality,1
environmental,0,business,1
environmental,0,fuel,1
environmental,0,food,1
environmental,0,transportation,1
environmental,0,infrastructure,1
environmental,0,carbon,
environmental,0,emissions,
environmental,0,carbon,
environmental,0,pricing,1
environmental,0,carbon,
environmental,0,cap,1
environmental,0,and,1
environmental,0,trade,1
environmental,0,carbon,1
environmental,0,reduction,1
environmental,0,clean,
environmental,0,energy,
environmental,0,carbon,
environmental,0,footprint,1
environmental,0,carbon,
environmental,0,intensive,1
environmental,0,products,1
environmental,0,financing,1
environmental,0,environmental,
environmental,0,impact,1
environmental,0,environmental,1
environmental,0,risk,1
environmental,0,financing,1
environmental,0,green,
environmental,0,financing,1
environmental,0,climate,
environmental,0,change,1
environmental,0,vulnerability,1
environmental,0,climate,
environmental,0,change,1
environmental,0,insurance,1
environmental,0,environmental,
environmental,0,risk,1
environmental,0,modeling,1
environmental,0,environmental,
environmental,0,risk,1
environmental,0,hedging,1
environmental,0,water,
environmental,0,depletion,1
environmental,0,water,
environmental,0,management,1
environmental,0,water,
environmental,0,withdrawal,1
environmental,0,biodiversity,
environmental,0,and,1
environmental,0,land,
environmental,0,use,1
environmental,0,fragile,1
environmental,0,ecosystems,
environmental,0,marine,
environmental,0,disturbances,1
environmental,0,biodiversity,
environmental,0,protection,1
environmental,0,raw,1
environmental,0,material,1
environmental,0,sourcing,1
environmental,0,agricultural,
environmental,0,raw,1
environmental,0,materials,1
environmental,0,sustainable,
environmental,0,sourcing,1
environmental,0,seafood,1
environmental,0,aquaculture,
environmental,0,timber,
environmental,0,paper,1
environmental,0,palm,1
environmental,0,oil,1
environmental,0,beef,1
environmental,0,dairy,1
environmental,0,leather,1
environmental,0,cotton,1
environmental,0,toxic,
environmental,0,emissions,
environmental,0,toxic,
environmental,0,water,
environmental,0,pollution,
environmental,0,contamination,
environmental,0,carcinogens,
environmental,0,smog,
environmental,0,package,1
environmental,0,material,1
environmental,0,and,1
environmental,0,waste,
environmental,0,recycling,
environmental,0,electronic,1
environmental,0,waste,
environmental,0,clean,
environmental,0,technology,1
environmental,0,environmental,
environmental,0,innovation,1
environmental,0,green,
environmental,0,design,1
environmental,0,environmental,
environmental,0,science,1
environmental,0,green,
environmental,0,building,1
environmental,0,green,
environmental,0,property,1
environmental,0,sustainable,
environmental,0,buildings,1
environmental,0,renewable,
environmental,0,energy,
environmental,0,alternative,
environmental,0,energy,
environmental,0,energy,
environmental,0,efficiency,
environmental,0,wind,
environmental,0,energy,
environmental,0,solar,
environmental,0,energy,
environmental,0,biomass,
environmental,0,energy,
environmental,0,hydro,
environmental,0,energy,
environmental,0,smart,
environmental,0,grid,1
environmental,0,hybrid,
environmental,0,cars,1
environmental,0,electric,1
environmental,0,cars,1
environmental,0,carbon,
environmental,0,capture,1
social,1,economic,1
social,1,business,1
social,1,social,
social,1,environmental,1
social,1,educational,
social,1,work,1
social,1,political,
social,1,government,
social,1,governmental,
social,1,technology,1
social,1,services,
social,1,research,1
social,1,environment,1
social,1,understanding,1
social,1,life,
social,1,efficiency,1
social,1,nature,1
social,1,concerns,1
social,1,of,1
social,1,industry,1
social,1,labor,
social,1,management,1
social,1,labor,
social,1,unrest,
social,1,job,
social,1,satisfaction,
social,1,employment,
social,1,benefits,
social,1,employee,
social,1,engagement,1
social,1,performance,1
social,1,incentives,1
social,1,health,
social,1,and,1
social,1,safety,
social,1,injuries,
social,1,fatalities,
social,1,mental,
social,1,health,
social,1,physical,
social,1,harm,
social,1,human,
social,1,capital,1
social,1,development,1
social,1,training,
social,1,and,1
social,1,development,1
social,1,professional,1
social,1,development,1
social,1,school,
social,1,university,
social,1,education,
social,1,trade,
social,1,schools,
social,1,supply,1
social,1,chain,1
social,1,labor,
social,1,standards,1
social,1,unsafe,
social,1,working,
social,1,conditions,1
social,1,inadequate,1
social,1,pay,
social,1,overtime,
social,1,union,
social,1,issues,1
social,1,child,
social,1,labor,
social,1,product,1
social,1,safety,
social,1,and,1
social,1,quality,1
social,1,chemical,1
social,1,safety,
social,1,consumer,
social,1,finance,1
social,1,protection,1
social,1,credit,1
social,1,loss,1
social,1,credit,1
social,1,litigation,1
social,1,financial,1
social,1,transparency,
social,1,privacy,
social,1,and,1
social,1,data,1
social,1,security,
social,1,personal,1
social,1,data,1
social,1,responsible,
social,1,investment,1
social,1,investment,1
social,1,due,1
social,1,diligence,
social,1,insuring,
social,1,health,
social,1,and,1
social,1,demographic,
social,1,risk,1
social,1,public,1
social,1,health,
social,1,controversial,1
social,1,sourcing,1
social,1,human,1
social,1,rights,
social,1,abuse,
social,1,labor,
social,1,rights,
social,1,abuse,
social,1,community,
social,1,relations,
social,1,community,
social,1,engagement,
social,1,access,1
social,1,to,1
social,1,communication,1
social,1,access,1
social,1,to,1
social,1,finance,1
social,1,access,1
social,1,to,1
social,1,health,
social,1,care,
social,1,opportunities,1
social,1,in,1
social,1,nutrition,
social,1,and,1
social,1,health,
governance,2,governmental,
governance,2,management,
governance,2,corporation,
governance,2,Corporate,
governance,2,corporations,
governance,2,organizational,
governance,2,financial,
governance,2,institutional,
governance,2,accountability,
governance,2,government,
governance,2,managerial,
governance,2,taxation,
governance,2,political,
governance,2,investment,
governance,2,economic,
governance,2,finance,
governance,2,marketing,
governance,2,regulatory,
governance,2,enterprise,
governance,2,taxes,
governance,2,corporate,
governance,2,board,
governance,2,corporate,
governance,2,governance,
governance,2,corporate,
governance,2,pay,
governance,2,salary,
governance,2,corporate,
governance,2,ownership,
governance,2,corporate,
governance,2,accounting,
governance,2,business,
governance,2,ethics,
governance,2,tax,
governance,2,transparency,
